resp_id,ques,segment,choice,service.1,service.2,service.3,reserve.1,reserve.2,reserve.3,enviro.1,enviro.2,enviro.3,price.1,price.2,price.3
1,1,budget,3,ext,ext_int_det,ext_int_det,no,yes,yes,yes,no,no,35,40,30
1,2,budget,2,ext_int_det,ext,ext_int,no,no,yes,no,no,no,35,30,35
1,3,budget,1,ext_int_det,ext_int,ext_int,yes,yes,no,yes,yes,no,35,30,40
1,4,budget,3,ext,ext_int,ext_int,no,no,yes,yes,yes,yes,30,40,35
1,5,budget,2,ext_int_det,ext_int_det,ext,no,no,yes,yes,no,yes,40,30,40
1,6,budget,3,ext,ext_int,ext,yes,no,yes,yes,yes,no,35,35,30
1,7,budget,1,ext_int,ext,ext_int_det,no,no,no,no,no,yes,30,35,35
1,8,budget,1,ext_int_det,ext,ext,yes,yes,yes,no,yes,no,35,30,35
1,9,budget,1,ext_int,ext_int,ext,no,yes,no,yes,yes,no,30,40,40
1,10,budget,1,ext_int_det,ext_int,ext,yes,yes,no,yes,no,yes,40,30,40
2,1,budget,3,ext_int_det,ext_int_det,ext_int,no,no,yes,no,yes,yes,35,35,40
2,2,budget,3,ext_int,ext,ext_int,no,yes,yes,no,yes,no,30,35,35
2,3,budget,3,ext,ext_int,ext_int_det,yes,no,yes,no,yes,yes,40,35,35
2,4,budget,1,ext,ext_int,ext_int_det,yes,no,yes,no,no,no,35,40,35
2,5,budget,1,ext_int_det,ext_int,ext_int,no,no,yes,no,yes,no,30,40,40
2,6,budget,3,ext,ext_int,ext_int,no,yes,no,yes,no,yes,40,30,30
2,7,budget,2,ext_int_det,ext,ext_int_det,yes,yes,no,no,no,yes,30,30,30
2,8,budget,3,ext,ext,ext,no,no,yes,yes,yes,yes,35,30,30
2,9,budget,3,ext_int,ext,ext_int,yes,no,no,yes,no,no,30,30,35
2,10,budget,1,ext_int_det,ext_int_det,ext,yes,yes,no,yes,no,no,40,40,35
3,1,budget,1,ext_int,ext_int,ext_int_det,yes,yes,yes,yes,no,yes,35,35,40
3,2,budget,2,ext_int,ext_int,ext,no,yes,no,no,yes,yes,35,40,40
3,3,budget,3,ext_int,ext_int_det,ext,no,no,yes,yes,no,no,30,30,35
3,4,budget,1,ext,ext,ext,yes,no,no,yes,yes,yes,30,35,30
3,5,budget,2,ext_int,ext_int_det,ext_int_det,no,yes,yes,no,no,no,40,35,40
3,6,budget,3,ext,ext_int_det,ext,no,yes,yes,no,no,no,40,30,30
3,7,budget,3,ext_int,ext_int,ext_int,no,yes,yes,no,no,no,30,40,30
3,8,budget,3,ext_int,ext_int,ext_int_det,no,no,yes,yes,yes,yes,35,40,30
3,9,budget,3,ext_int_det,ext,ext_int_det,no,yes,yes,yes,yes,yes,30,35,35
3,10,budget,2,ext_int_det,ext_int_det,ext,no,no,yes,no,yes,no,40,35,40
4,1,budget,2,ext,ext_int_det,ext_int,yes,no,no,no,no,yes,30,30,40
4,2,budget,2,ext_int_det,ext_int,ext,no,yes,yes,yes,yes,yes,40,40,35
4,3,budget,2,ext_int,ext_int_det,ext_int_det,no,yes,yes,yes,yes,no,35,35,40
4,4,budget,3,ext_int_det,ext,ext_int,no,no,yes,yes,no,yes,30,35,30
4,5,budget,2,ext_int,ext_int,ext,no,yes,no,yes,no,no,30,30,30
4,6,budget,3,ext,ext_int_det,ext_int,yes,yes,yes,yes,yes,no,40,40,35
4,7,budget,3,ext_int_det,ext,ext,no,no,yes,yes,yes,yes,35,30,30
4,8,budget,2,ext_int,ext_int_det,ext_int,no,yes,yes,no,no,yes,40,30,35
4,9,budget,3,ext_int,ext,ext_int,no,yes,no,no,no,no,35,35,30
4,10,budget,2,ext_int_det,ext_int_det,ext_int_det,no,yes,yes,no,no,yes,35,35,30
5,1,budget,2,ext_int_det,ext,ext_int,yes,yes,no,yes,yes,no,35,30,35
5,2,budget,2,ext_int_det,ext,ext,yes,no,yes,no,no,no,40,30,35
5,3,budget,2,ext,ext_int_det,ext_int_det,no,yes,no,no,no,yes,35,35,40
5,4,budget,2,ext_int_det,ext_int,ext_int_det,no,yes,yes,no,yes,yes,35,35,30
5,5,budget,2,ext_int,ext,ext,yes,yes,no,no,no,no,35,30,40
5,6,budget,1,ext_int_det,ext_int,ext,no,no,no,yes,yes,yes,30,40,40
5,7,budget,1,ext,ext_int_det,ext_int,no,no,yes,yes,no,no,30,40,40
5,8,budget,2,ext,ext_int_det,ext_int,no,yes,yes,yes,yes,yes,35,40,40
5,9,budget,2,ext_int_det,ext_int,ext,no,yes,yes,yes,yes,no,35,30,40
5,10,budget,1,ext_int_det,ext_int_det,ext,yes,no,yes,no,no,yes,30,30,35
6,1,budget,2,ext_int_det,ext,ext,no,yes,no,yes,yes,no,35,30,30
6,2,budget,1,ext_int_det,ext_int,ext,no,no,no,no,no,yes,35,35,30
6,3,budget,2,ext_int,ext_int_det,ext_int_det,yes,yes,yes,no,no,no,30,30,35
6,4,budget,2,ext,ext_int_det,ext,no,no,yes,yes,yes,no,40,30,40
6,5,budget,1,ext_int,ext,ext_int,no,no,yes,yes,yes,no,30,35,40
6,6,budget,2,ext_int_det,ext_int_det,ext_int,yes,yes,yes,no,yes,no,40,35,35
6,7,budget,2,ext_int,ext_int,ext_int,no,no,yes,no,yes,yes,40,40,40
6,8,budget,2,ext,ext,ext,no,yes,yes,no,no,yes,40,30,35
6,9,budget,3,ext_int,ext_int_det,ext_int_det,yes,no,yes,yes,no,yes,35,30,30
6,10,budget,1,ext_int,ext,ext_int_det,yes,yes,yes,yes,yes,yes,30,40,40
7,1,budget,2,ext_int_det,ext_int,ext_int,no,no,yes,yes,yes,no,35,30,30
7,2,budget,1,ext,ext_int_det,ext_int,yes,no,no,yes,no,no,35,35,35
7,3,budget,3,ext_int,ext_int,ext_int_det,yes,no,yes,no,no,no,40,40,35
7,4,budget,3,ext_int,ext_int,ext_int,no,yes,yes,yes,yes,yes,35,35,30
7,5,budget,1,ext_int_det,ext_int,ext,yes,no,yes,no,no,no,30,30,40
7,6,budget,3,ext_int_det,ext,ext,no,no,no,yes,no,yes,40,40,35
7,7,budget,2,ext_int,ext,ext,no,yes,no,yes,no,yes,40,30,30
7,8,budget,2,ext_int_det,ext,ext_int_det,no,yes,no,no,no,no,30,35,40
7,9,budget,1,ext,ext,ext_int_det,yes,no,yes,yes,no,no,30,35,40
7,10,budget,2,ext_int,ext_int_det,ext,yes,yes,yes,yes,yes,yes,40,30,40
8,1,budget,1,ext_int_det,ext,ext_int,no,no,yes,no,no,no,40,30,30
8,2,budget,3,ext_int,ext,ext_int,no,no,yes,yes,no,yes,35,35,35
8,3,budget,1,ext_int,ext_int_det,ext_int_det,no,yes,yes,yes,no,yes,30,40,30
8,4,budget,3,ext,ext_int_det,ext,no,no,yes,yes,no,no,30,30,30
8,5,budget,2,ext,ext,ext,yes,yes,no,yes,no,no,30,35,40
8,6,budget,2,ext,ext_int_det,ext_int,no,no,yes,yes,yes,no,35,30,35
8,7,budget,3,ext,ext_int_det,ext_int_det,no,no,yes,yes,yes,yes,40,40,35
8,8,budget,3,ext_int_det,ext_int,ext_int_det,no,yes,yes,no,yes,no,35,30,30
8,9,budget,3,ext,ext,ext_int,yes,yes,yes,yes,no,no,40,40,40
8,10,budget,2,ext_int,ext_int_det,ext_int,yes,no,no,yes,yes,no,40,35,30
9,1,budget,3,ext_int,ext,ext_int_det,yes,yes,yes,no,no,yes,40,40,40
9,2,budget,3,ext,ext_int_det,ext,yes,yes,yes,no,no,yes,35,35,30
9,3,budget,1,ext,ext_int_det,ext_int_det,yes,no,yes,no,no,no,30,40,40
9,4,budget,3,ext_int,ext,ext_int,no,yes,yes,yes,yes,no,35,40,30
9,5,budget,1,ext_int_det,ext_int_det,ext_int,yes,yes,no,yes,yes,no,30,35,35
9,6,budget,1,ext_int,ext,ext_int,no,no,no,no,yes,yes,30,40,30
9,7,budget,2,ext,ext_int,ext,no,yes,no,no,yes,yes,35,35,30
9,8,budget,3,ext_int_det,ext,ext_int,no,no,yes,yes,yes,yes,30,35,30
9,9,budget,3,ext_int_det,ext,ext_int_det,no,no,no,yes,no,no,40,40,30
9,10,budget,3,ext_int,ext_int,ext,no,yes,yes,yes,yes,yes,40,40,35
10,1,budget,1,ext_int_det,ext_int,ext,yes,no,yes,yes,no,no,30,30,30
10,2,budget,1,ext_int,ext_int_det,ext_int,yes,no,yes,yes,no,yes,35,30,40
10,3,budget,2,ext,ext,ext_int,no,yes,no,no,yes,no,35,30,35
10,4,budget,2,ext_int_det,ext_int_det,ext_int,no,yes,no,no,yes,no,35,40,40
10,5,budget,1,ext_int_det,ext,ext_int,yes,yes,yes,no,no,no,35,35,30
10,6,budget,2,ext_int_det,ext_int,ext,yes,yes,yes,no,yes,yes,40,30,35
10,7,budget,3,ext,ext,ext_int_det,yes,no,yes,yes,no,no,40,40,30
10,8,budget,3,ext_int_det,ext_int,ext_int,no,no,yes,yes,yes,no,40,35,35
10,9,budget,3,ext,ext,ext_int_det,no,no,no,yes,yes,yes,35,40,30
10,10,budget,3,ext,ext_int_det,ext,yes,no,no,no,no,no,40,40,30
11,1,budget,3,ext_int,ext_int,ext,yes,yes,no,no,no,no,40,35,30
11,2,budget,3,ext_int_det,ext,ext_int_det,yes,no,yes,yes,yes,no,30,30,35
11,3,budget,3,ext,ext,ext_int,no,yes,no,no,yes,no,35,40,35
11,4,budget,1,ext_int_det,ext_int_det,ext_int_det,no,no,no,yes,no,no,30,40,35
11,5,budget,2,ext_int_det,ext_int_det,ext_int,yes,no,no,no,yes,no,40,35,40
11,6,budget,1,ext_int_det,ext_int,ext,yes,no,yes,yes,yes,no,35,30,40
11,7,budget,1,ext_int_det,ext,ext_int,no,no,no,no,no,no,30,40,30
11,8,budget,1,ext,ext,ext,yes,yes,no,yes,no,yes,30,35,35
11,9,budget,1,ext,ext_int,ext_int,yes,yes,no,yes,yes,yes,35,40,40
11,10,budget,1,ext_int_det,ext_int,ext,yes,yes,yes,no,no,no,30,30,30
12,1,premium,2,ext,ext_int_det,ext_int_det,yes,no,yes,no,no,yes,35,35,30
12,2,premium,3,ext_int,ext_int,ext,no,yes,no,yes,no,yes,30,40,35
12,3,premium,1,ext,ext_int,ext_int,no,no,yes,no,no,yes,30,40,35
12,4,premium,3,ext_int,ext_int,ext,no,yes,yes,yes,no,yes,35,30,35
12,5,premium,1,ext_int_det,ext_int_det,ext,no,yes,yes,no,no,yes,40,35,40
12,6,premium,3,ext,ext_int_det,ext_int,yes,no,no,no,no,no,30,30,30
12,7,premium,1,ext_int,ext,ext_int_det,no,no,yes,no,yes,yes,35,40,40
12,8,premium,3,ext,ext,ext,no,yes,no,no,no,no,40,40,35
12,9,premium,2,ext_int_det,ext_int_det,ext_int,yes,no,no,no,yes,yes,40,30,40
12,10,premium,1,ext_int_det,ext,ext_int,yes,yes,yes,yes,yes,yes,35,30,30
13,1,budget,2,ext_int_det,ext_int_det,ext_int,no,no,no,yes,yes,no,35,30,40
13,2,budget,1,ext_int_det,ext_int,ext_int_det,yes,yes,yes,no,yes,yes,35,35,30
13,3,budget,1,ext,ext_int_det,ext,yes,yes,no,yes,yes,no,40,40,35
13,4,budget,2,ext_int,ext_int_det,ext,no,yes,no,yes,no,yes,40,30,35
13,5,budget,2,ext_int,ext_int,ext_int,yes,yes,yes,no,no,yes,35,30,40
13,6,budget,1,ext_int,ext_int,ext,no,no,yes,yes,yes,no,30,35,35
13,7,budget,2,ext_int,ext_int_det,ext_int_det,no,no,no,no,no,no,35,30,40
13,8,budget,2,ext_int_det,ext_int_det,ext,no,yes,yes,yes,no,yes,40,40,30
13,9,budget,2,ext,ext_int,ext,no,no,yes,yes,no,no,30,30,40
13,10,budget,2,ext,ext_int_det,ext,no,yes,yes,yes,yes,yes,40,35,35
14,1,budget,1,ext_int_det,ext,ext_int_det,yes,no,no,yes,no,no,30,40,35
14,2,budget,3,ext,ext_int_det,ext_int_det,no,no,no,yes,yes,no,40,30,30
14,3,budget,1,ext_int_det,ext,ext_int,yes,no,no,no,yes,yes,35,30,35
14,4,budget,3,ext_int,ext_int,ext,no,yes,no,yes,yes,no,40,40,30
14,5,budget,2,ext,ext,ext,yes,yes,yes,yes,yes,yes,35,30,40
14,6,budget,1,ext_int_det,ext_int_det,ext_int_det,yes,no,yes,no,no,yes,40,40,40
14,7,budget,1,ext,ext_int,ext_int,yes,yes,yes,no,no,no,30,30,35
14,8,budget,2,ext_int,ext_int,ext_int,no,yes,yes,no,yes,yes,35,30,35
14,9,budget,3,ext_int,ext,ext,no,yes,yes,no,no,no,30,40,35
14,10,budget,3,ext_int_det,ext_int,ext_int_det,no,no,yes,yes,no,no,40,40,30
15,1,budget,2,ext_int,ext,ext,no,no,no,yes,no,yes,35,35,40
15,2,budget,3,ext,ext,ext_int,no,yes,yes,no,no,yes,30,40,30
15,3,budget,1,ext_int,ext,ext_int_det,no,no,yes,yes,yes,no,30,35,30
15,4,budget,3,ext,ext_int_det,ext_int,no,no,yes,yes,no,no,30,30,30
15,5,budget,1,ext_int,ext_int_det,ext_int_det,yes,no,no,no,no,yes,40,40,35
15,6,budget,3,ext,ext_int,ext_int,yes,no,yes,yes,no,no,40,40,35
15,7,budget,2,ext_int,ext,ext_int_det,no,yes,no,no,no,yes,35,30,40
15,8,budget,3,ext_int_det,ext_int_det,ext_int_det,no,yes,yes,yes,yes,yes,30,30,35
15,9,budget,2,ext_int,ext,ext,yes,yes,yes,yes,no,yes,35,35,30
15,10,budget,1,ext_int_det,ext,ext_int,yes,no,no,no,no,yes,35,40,40
16,1,budget,2,ext,ext_int_det,ext_int_det,yes,yes,no,no,yes,yes,40,30,35
16,2,budget,1,ext_int_det,ext_int_det,ext,no,no,yes,no,yes,no,35,40,35
16,3,budget,3,ext_int_det,ext_int,ext,yes,no,no,yes,no,no,35,30,30
16,4,budget,2,ext_int,ext_int_det,ext_int,yes,yes,yes,no,no,yes,35,30,35
16,5,budget,3,ext_int,ext,ext_int,yes,no,no,yes,no,yes,40,40,35
16,6,budget,1,ext,ext_int_det,ext_int_det,yes,no,no,no,yes,no,30,30,30
16,7,budget,2,ext_int_det,ext_int,ext_int,yes,yes,no,yes,yes,yes,40,30,30
16,8,budget,3,ext,ext,ext,no,no,no,yes,yes,yes,35,40,30
16,9,budget,1,ext,ext_int,ext,yes,no,no,yes,no,no,40,40,35
16,10,budget,2,ext_int,ext_int,ext_int,yes,yes,no,no,no,no,40,30,35
17,1,non_basic,3,ext,ext_int_det,ext,yes,yes,no,yes,yes,yes,30,30,30
17,2,non_basic,2,ext_int_det,ext_int_det,ext,yes,no,yes,no,yes,no,30,30,30
17,3,non_basic,3,ext_int,ext,ext_int,no,no,no,no,no,yes,35,30,30
