OBS,HOUSEHOLDID,BOUGHT.US,PRICE.COMP,PRICE.US,DISPL.COMP,DISPL.US,COUP.COMP,COUP.US,COUPDISPL.COMP,COUPDISPL.US
1,1,0,52.000001,34.000002,0,0,0,0,0,0
2,1,0,52.000001,44,0,0,0,0,0,0
3,1,0,46,48,0,0,1,0,0,0
4,1,0,52.000001,34.000002,0,0,0,0,0,0
5,1,0,46,48,0,0,1,0,0,0
6,1,0,46.999998,29.999999,0,0,0,0,0,0
7,1,0,46,41.000001,0,0,0,0,0,1
8,1,0,46,30.999999,0,0,0,0,0,0
9,1,0,46.999998,30.999999,0,0,0,0,0,0
10,1,0,50.000001,28.000001,0,1,0,0,0,0
11,1,0,50.000001,41.000001,0,0,0,0,0,0
12,1,0,50.000001,34.000002,0,0,0,0,0,0
13,1,0,52.999999,37,0,0,0,0,0,0
14,1,0,35.999998,37,1,0,0,0,0,0
15,2,0,52.000001,37,0,0,0,0,0,0
16,2,0,30.999999,34.000002,0,0,0,0,0,0
17,2,0,17.999999,34.000002,0,0,0,0,0,0
18,2,0,41.999999,35,0,0,1,0,0,0
19,2,0,50.000001,30.999999,0,0,0,0,0,0
20,2,0,43.000001,34.000002,0,0,0,0,0,0
21,2,0,39.000001,37,0,0,0,0,0,0
22,3,0,28.000001,35.999998,0,0,0,0,0,0
23,3,0,37,34.000002,0,0,0,0,0,0
24,3,0,28.000001,37,0,0,0,0,0,0
25,3,0,37,35,0,0,0,0,0,0
26,3,0,39.000001,34.000002,1,0,0,0,0,0
27,3,0,30.999999,34.000002,1,0,0,0,0,0
28,3,0,29.999999,28.000001,0,0,1,0,0,0
29,3,0,29.999999,29.999999,0,0,0,0,0,0
30,3,0,39.000001,29.999999,0,0,1,0,0,0
31,3,0,34.000002,29.999999,0,0,0,0,0,0
32,3,0,30.999999,30.999999,1,0,0,0,0,0
33,3,0,30.999999,30.999999,1,0,0,0,0,0
34,3,0,34.000002,30.999999,0,0,0,0,0,0
35,3,0,34.000002,28.999999,0,0,0,0,0,0
36,3,0,34.000002,34.000002,0,0,0,0,0,0
37,3,0,37,34.000002,0,0,0,0,0,0
38,3,0,30.999999,34.000002,1,0,0,0,0,0
39,3,0,37,34.000002,0,0,0,0,0,0
40,3,0,37,34.000002,0,0,0,0,0,0
41,3,0,35.999998,37,0,0,0,0,0,0
42,4,0,28.000001,35,0,0,0,0,0,0
43,4,0,41.999999,34.000002,0,0,0,0,0,0
44,4,0,35,29.999999,1,0,0,0,0,0
45,4,0,34.000002,30.999999,0,0,0,0,0,0
46,4,0,39.000001,30.999999,1,0,0,0,0,0
47,4,0,34.000002,30.999999,0,0,0,0,0,0
48,4,0,34.000002,35,0,0,1,0,0,0
49,4,0,39.000001,37,1,0,0,0,0,0
50,4,0,32.000002,41.000001,0,0,1,0,0,0
51,5,0,28.000001,35.999998,0,0,0,0,0,0
52,5,0,34.000002,39.000001,0,0,0,0,0,0
53,5,0,29.999999,28.000001,0,0,1,0,0,0
54,5,0,34.000002,28.000001,0,0,0,0,0,0
55,5,0,35,29.999999,1,0,0,0,0,0
56,6,0,43.333334,33,0,0,0,0,0,0
57,6,0,34.000002,37.999999,0,0,0,0,0,0
58,6,0,30.999999,44,0,0,0,0,0,0
59,6,0,30.999999,37,0,0,0,0,0,0
60,6,0,30.999999,35.999998,0,0,0,1,0,0
61,6,0,34.333333,35.999998,0,0,0,1,0,0
62,6,0,27.000001,35,0,0,0,1,0,0
63,6,0,34.000002,33,0,0,0,0,0,0
64,6,0,27.000001,35,0,0,0,0,0,0
65,6,0,12,35,0,0,1,0,0,0
66,6,0,30.999999,41.999999,0,0,0,0,0,0
67,6,0,30.999999,35,0,0,0,0,0,0
68,6,0,37,35,0,0,0,0,0,0
69,6,0,43.999999,35,0,0,0,0,0,0
70,6,0,15,35,0,0,0,0,0,0
71,7,0,29.999999,28.000001,0,1,0,0,0,0
72,7,0,29.999999,28.000001,0,0,1,0,0,0
73,7,0,30.999999,41.999999,0,0,0,0,0,0
74,7,0,45.333333,25,0,1,0,0,0,0
75,7,0,21,34.000002,0,0,0,0,0,0
76,8,1,37,34.000002,0,0,0,0,0,0
77,8,0,34.000002,37,0,0,0,0,0,0
78,8,0,29.999999,30.999999,0,0,0,0,0,0
79,8,0,29.999999,29.999999,0,0,0,0,0,0
80,8,0,29.999999,29.999999,1,0,0,0,0,0
81,8,0,25,30.999999,0,0,1,0,0,0
82,8,0,34.000002,30.999999,1,0,0,0,0,0
83,8,0,30.999999,30.999999,0,0,0,0,0,0
84,8,0,34.000002,34.000002,0,0,0,0,0,0
85,8,0,37,34.000002,0,0,0,0,0,0
86,8,1,37,28.000001,0,1,0,0,0,0
87,9,0,28.000001,35.999998,0,0,0,0,0,0
88,9,0,17.000001,35.999998,0,0,0,1,0,0
89,9,0,21,35,0,0,0,0,0,0
90,9,0,17.999999,30.999999,0,0,0,0,0,0
91,9,0,24,35,0,0,1,0,0,0
92,9,0,22,30.999999,1,0,0,0,0,0
93,9,0,39.000001,37,1,0,0,0,0,0
94,9,0,22,34.000002,0,0,0,0,0,0
95,10,0,25,34.000002,0,0,0,0,0,0
96,10,1,45,26.000001,0,0,0,0,0,0
97,10,0,39.000001,34.000002,0,0,0,0,1,0
98,10,0,28.000001,29.999999,1,0,0,0,0,0
99,10,0,29.999999,29.999999,0,0,0,0,0,0
100,10,0,34.000002,30.999999,0,0,0,0,0,0
101,10,1,43.000002,28.000001,0,0,0,0,0,0
102,10,0,34.000002,34.000002,0,0,0,0,0,0
103,10,1,43.333334,29.999999,0,0,0,0,0,0
104,10,0,39.000001,37,0,0,0,0,0,0
105,10,0,35.999998,37,0,0,0,0,0,0
106,11,0,33,48,0,0,0,0,0,0
107,11,0,34.000002,41.000001,0,0,0,0,0,0
108,11,0,34.000002,45.000002,0,0,0,0,0,0
109,11,0,33,48,1,0,0,0,0,0
110,11,0,33,48,0,0,0,0,0,0
111,11,0,30.999999,35.999998,0,0,0,0,0,0
112,11,0,29.999999,48,0,0,1,0,0,0
113,11,0,29.999999,50.000001,0,0,0,0,0,0
114,11,0,27.000001,48.999999,0,0,0,0,1,0
115,11,0,29.999999,86.999997,0,0,0,0,0,0
116,11,0,29.999999,41.000001,0,0,0,1,0,0
